n,direccion,status,http_code,elapsed_s,error
1,AV. CORDOBA 1000,ERROR,,,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=8000): Read timed out. (read timeout=30)""))"
2,SAN JOSE DE CALASANZ 725,OK,200.0,27.7922842502594,
3,ANDALGALA 2144,OK,200.0,9.294801473617554,
4,POLA 2545,OK,200.0,10.943820714950562,
5,EPECUEN 4956,OK,200.0,18.381168842315674,
6,ASUNCION 5058,OK,200.0,14.189295291900635,
7,DOCTOR FLORENTINO AMEGHINO 815,OK,200.0,11.594459295272827,
8,IBERA 2321,OK,200.0,5.398547410964966,
9,MOLDES 3591,OK,200.0,26.902971982955933,
10,MEXICO 2131,OK,200.0,26.42335557937622,
11,BIARRITZ 2071,OK,200.0,4.740884304046631,
12,AV. CALLAO 796,OK,200.0,7.075485944747925,
13,ALMIRANTE F. J. SEGUI 1959,OK,200.0,4.926520109176636,
14,AVALOS 1276,OK,200.0,6.591719627380371,
15,MANUELA PEDRAZA 1878,OK,200.0,10.673399209976196,
16,VIEL 1898,OK,200.0,5.703821420669556,
17,TENIENTE GENERAL JUAN DOMINGO PERON 1493,OK,200.0,6.01982307434082,
18,RENQUE CURA 1736,OK,200.0,6.0889198780059814,
19,SAN NICOLAS 1136,OK,200.0,5.030809164047241,
20,MONTAÑESES 2891,OK,200.0,5.24743914604187,
21,CAÑADA DE GOMEZ 4113,OK,200.0,5.567842245101929,
22,GRAL. FRUCTUOSO RIVERA 881,OK,200.0,6.182068824768066,
23,CAMARGO 928,OK,200.0,7.426358222961426,
24,COSQUIN 4062,OK,200.0,5.478928565979004,
25,GAVILAN 4601,OK,200.0,5.363829135894775,
26,GRAL. EUGENIO GARZON 3868,OK,200.0,5.440486431121826,
27,LAS FLORES 56,OK,200.0,5.336589813232422,
28,AV. CONGRESO 4430,OK,200.0,6.551828622817993,
29,MIÑONES 2008,OK,200.0,5.147040605545044,
30,AREVALO 2268,OK,200.0,5.264891624450684,
